Date	Time	Scan	uv-Flux	uv-Err	Im-Flux	Im-Err
2024/10/23	5:08:09	40	1.88E-04	6.36E-06	2.10E-04	2.45E-05
2024/10/23	5:25:35	52	1.88E-04	6.36E-06	1.95E-04	1.84E-05
2024/10/23	5:46:02	66	1.85E-04	6.42E-06	2.35E-04	2.63E-05
2024/10/23	6:03:28	78	1.80E-04	6.34E-06	1.80E-04	1.89E-05
2024/10/23	6:23:55	92	1.73E-04	6.32E-06	1.86E-04	1.98E-05
2024/10/23	6:41:22	104	1.98E-04	6.36E-06	2.14E-04	1.94E-05
2024/10/23	7:01:48	118	2.05E-04	6.41E-06	2.20E-04	2.01E-05
2024/10/23	7:19:16	130	1.84E-04	6.47E-06	1.81E-04	2.06E-05
2024/10/23	7:39:42	144	1.98E-04	6.54E-06	2.31E-04	2.55E-05
2024/10/23	7:57:09	156	1.92E-04	6.63E-06	1.96E-04	2.24E-05
